,count,mean,std,min,25%,50%,75%,max,n_faltantes,porcentaje_faltante
year,10000.0,2012.4567,7.164960486693389,2000.0,2006.0,2012.5,2019.0,2024.0,0,0.0
round,10000.0,10.1627,5.6963561648966206,1.0,5.0,10.0,15.0,24.0,0,0.0
driver_age,10000.0,28.266923203285423,5.011632093189336,17.453798767967147,24.371663244353183,27.50444900752909,31.56331279945243,43.893223819301845,0,0.0
grid,10000.0,10.8902,6.1887457547876155,0.0,6.0,11.0,16.0,24.0,0,0.0
positionOrder,10000.0,11.069,6.162048042948737,1.0,6.0,11.0,16.0,24.0,0,0.0
race_points,10000.0,3.6878,6.1507206322860775,0.0,0.0,0.0,6.0,50.0,0,0.0
laps,10000.0,52.1103,19.23337531954852,0.0,50.0,56.0,66.0,87.0,0,0.0
driver_championship_points,9847.0,39.41393317761755,64.65453619205724,0.0,1.0,12.0,46.0,575.0,153,1.53
driver_championship_position,9847.0,11.16441555803798,6.368187323874014,1.0,6.0,11.0,16.0,27.0,153,1.53
driver_championship_wins,9847.0,0.49202802884127145,1.5157486021535136,0.0,0.0,0.0,0.0,19.0,153,1.53
circuit_lat,10000.0,31.219416538,24.206503504706497,-37.8497,26.0325,41.57,47.2197,52.3888,0,0.0
circuit_lng,10000.0,24.754226550299997,64.16909680696213,-115.173,2.26111,9.28111,54.6031,144.968,0,0.0
circuit_alt,10000.0,207.2821,351.9423848640802,-7.0,10.0,103.0,228.0,2227.0,0,0.0
podio,10000.0,0.143,0.3500903545167055,0.0,0.0,0.0,0.0,1.0,0,0.0
top10,10000.0,0.4752,0.49940955236168544,0.0,0.0,0.0,1.0,1.0,0,0.0
victoria,10000.0,0.0478,0.21335349064685374,0.0,0.0,0.0,0.0,1.0,0,0.0
laps_max_race,10000.0,60.7546,9.381416734054287,1.0,55.0,58.0,70.0,87.0,0,0.0
laps_pct,10000.0,0.8592536369973494,0.2872428948604707,0.0,0.9615384615384616,0.9859154929577465,1.0,1.0,0,0.0
vueltas_perdidas,10000.0,8.6443,17.8267988429134,0.0,0.0,1.0,2.0,87.0,0,0.0
