circuit_country,frecuencia,porcentaje
Italy,769,7.6899999999999995
Spain,635,6.35
Germany,545,5.45
UK,543,5.43
Hungary,522,5.220000000000001
Brazil,501,5.01
Monaco,499,4.99
Japan,483,4.83
Belgium,483,4.83
Australia,482,4.82
USA,472,4.72
Canada,468,4.68
Bahrain,435,4.35
Malaysia,386,3.8600000000000003
China,361,3.61
Austria,345,3.45
UAE,332,3.32
Singapore,315,3.15
France,268,2.68
Turkey,192,1.92
Mexico,179,1.79
Russia,163,1.63
Azerbaijan,161,1.6099999999999999
Korea,94,0.9400000000000001
Saudi Arabia,80,0.8
Netherlands,79,0.79
India,70,0.7000000000000001
Qatar,59,0.59
United States,40,0.4
Portugal,39,0.38999999999999996
