constructor_name,frecuencia,porcentaje
McLaren,952,9.520000000000001
Williams,951,9.51
Ferrari,950,9.5
Red Bull,782,7.82
Sauber,605,6.05
Mercedes,601,6.01
Renault,553,5.53
Toro Rosso,526,5.26
Force India,422,4.22
Haas F1 Team,378,3.7800000000000002
Toyota,279,2.79
Jordan,207,2.07
Alfa Romeo,205,2.0500000000000003
Minardi,205,2.0500000000000003
BAR,203,2.03
Alpine F1 Team,179,1.79
Aston Martin,178,1.78
Jaguar,170,1.7000000000000002
AlphaTauri,165,1.6500000000000001
Lotus F1,154,1.54
BMW Sauber,140,1.4000000000000001
HRT,115,1.15
Caterham,111,1.11
Marussia,108,1.08
Honda,104,1.04
Arrows,90,0.8999999999999999
Super Aguri,78,0.7799999999999999
Manor Marussia,77,0.77
Lotus,76,0.76
Racing Point,76,0.76
Virgin,76,0.76
Benetton,68,0.6799999999999999
Prost,66,0.66
RB F1 Team,47,0.47000000000000003
Spyker,34,0.33999999999999997
Brawn,34,0.33999999999999997
MF1,27,0.27
Spyker MF1,8,0.08
