driver_nationality,frecuencia,porcentaje
German,1587,15.870000000000001
British,1345,13.450000000000001
Spanish,777,7.7700000000000005
Finnish,772,7.720000000000001
Brazilian,757,7.57
French,753,7.53
Italian,559,5.59
Australian,514,5.140000000000001
Mexican,342,3.42
Dutch,340,3.4000000000000004
Canadian,328,3.2800000000000002
Japanese,316,3.16
Russian,210,2.1
Danish,190,1.9
Monegasque,149,1.49
Thai,105,1.05
Polish,97,0.97
Swedish,97,0.97
Venezuelan,96,0.96
Austrian,96,0.96
Colombian,95,0.95
American,67,0.67
Chinese,66,0.66
Belgian,61,0.61
Indian,59,0.59
Swiss,54,0.54
Portuguese,37,0.37
New Zealander,36,0.36
Argentine,21,0.21
Hungarian,20,0.2
Malaysian,16,0.16
Irish,14,0.13999999999999999
Indonesian,12,0.12
Argentinian ,9,0.09
Czech,3,0.03
