,year,round,driver_age,grid,positionOrder,race_points,laps,driver_championship_points,driver_championship_position,driver_championship_wins,circuit_lat,circuit_lng,circuit_alt,podio,top10,victoria,laps_max_race,laps_pct,vueltas_perdidas
year,1.0,0.1511757411449364,-0.033138117643957514,-0.06367617900054134,-0.04117009892548143,0.23072781080016738,0.10104045240033808,0.2747607320576488,-0.02653390434131069,0.029184030687203228,-0.013263932597317452,-0.04477335566248836,0.06785198271583119,0.010283307501817848,0.021933630902224076,0.00508319026115033,-0.12308633334110564,0.16330685022507793,-0.1737874061468908
round,0.1511757411449364,1.0,0.027483159301193452,-0.00951312576670164,-0.010747889177544594,0.03856899339042899,0.0284306429290245,0.3805964001138927,0.031132724320446826,0.1785978902461849,0.06444870560715871,-0.2117996138091626,0.31316633879115013,0.0028755191544994506,0.005830474218394778,0.0016646753360783882,-0.07473579621740728,0.06412345785483553,-0.07000386812537282
driver_age,-0.033138117643957514,0.027483159301193452,1.0,-0.11277526696893797,-0.0785089643961093,0.08059486994010447,0.019858001835486583,0.10719562897296081,-0.14010833169970152,0.06540806443892729,0.008841214626807868,-0.013420656469779153,0.003533843052097628,0.06559688910449536,0.08324012862423767,0.03783647019143414,0.005968355580492136,0.020673441424844362,-0.018283976520560477
grid,-0.06367617900054134,-0.00951312576670164,-0.11277526696893797,1.0,0.5581987750157131,-0.5590534604153904,-0.11413588168512688,-0.48273909691972566,0.7258295646779999,-0.3687711076804125,-0.0026871255966380227,0.01774662524344708,-0.014544307403598062,-0.479919176655936,-0.5157643184943627,-0.31126599010356154,-0.0018818006442398731,-0.12376486737898694,0.1221511676331751
positionOrder,-0.04117009892548143,-0.010747889177544594,-0.0785089643961093,0.5581987750157131,1.0,-0.7447548629566735,-0.5690902166270032,-0.4414685086957465,0.6545079699139753,-0.35441275536062156,-0.003806353635224561,0.01411922131309123,-0.012266379972412625,-0.6013593914800204,-0.8617229957176654,-0.36612790991583455,-0.0015495296501100118,-0.6233192409898414,0.6131773314997709
race_points,0.23072781080016738,0.03856899339042899,0.08059486994010447,-0.5590534604153904,-0.7447548629566735,1.0,0.25493893759661806,0.6562530346721256,-0.6197266698835322,0.5083284864546128,-0.007156826933303096,-0.0023861052087868484,0.010471749385667249,0.7615299837387259,0.6301178337701692,0.580859809723731,-0.027072844596933737,0.2924282805818047,-0.2893014025203416
laps,0.10104045240033808,0.0284306429290245,0.019858001835486583,-0.11413588168512688,-0.5690902166270032,0.25493893759661806,1.0,0.09662485245805623,-0.16420080138372944,0.07891787026632796,0.0295747397717447,-0.14843392337076386,0.10149749308108413,0.18358439913810598,0.4144035577416002,0.10102798411075363,0.38833356172382144,0.8964886482819491,-0.8745404310990681
driver_championship_points,0.2747607320576488,0.3805964001138927,0.10719562897296081,-0.48273909691972566,-0.4414685086957465,0.6562530346721256,0.09662485245805623,1.0,-0.6152807897256745,0.7166914695184519,-0.028483021953353477,-0.08252108771585276,0.13718714450514344,0.46285075665176617,0.38487208115277166,0.34041758861363614,-0.05321747324819609,0.129883550393878,-0.13334216577269928
driver_championship_position,-0.02653390434131069,0.031132724320446826,-0.14010833169970152,0.7258295646779999,0.6545079699139753,-0.6197266698835322,-0.16420080138372944,-0.6152807897256745,1.0,-0.4605214137425171,0.02410702990691669,-0.0018884504989587685,-0.0067332296574335836,-0.5172447728078727,-0.6055937956727127,-0.3226222385564783,-0.0027921798576570375,-0.17850257497348013,0.1762372692019153
driver_championship_wins,0.029184030687203228,0.1785978902461849,0.06540806443892729,-0.3687711076804125,-0.35441275536062156,0.5083284864546128,0.07891787026632796,0.7166914695184519,-0.4605214137425171,1.0,0.003136538505163833,-0.03755015699724715,0.05920162125104444,0.4823540453117072,0.26246240148506345,0.5311970144438263,-0.015495163864647731,0.09248230983430174,-0.09379784241525753
circuit_lat,-0.013263932597317452,0.06444870560715871,0.008841214626807868,-0.0026871255966380227,-0.003806353635224561,-0.007156826933303096,0.0295747397717447,-0.028483021953353477,0.02410702990691669,0.003136538505163833,1.0,-0.33876726255923517,-0.09695923683371079,0.0017896724562966933,0.0013728191673657146,0.0016943280728702584,-0.012960750733967645,0.0421938029439044,-0.0387288979874224
circuit_lng,-0.04477335566248836,-0.2117996138091626,-0.013420656469779153,0.01774662524344708,0.01411922131309123,-0.0023861052087868484,-0.14843392337076386,-0.08252108771585276,-0.0018884504989587685,-0.03755015699724715,-0.33876726255923517,1.0,-0.44036646036920857,-0.003054432067947071,-0.007837521237203821,-0.0024837756354020336,-0.36146841732587964,-0.0007096728253613944,-0.030078339107038995
circuit_alt,0.06785198271583119,0.31316633879115013,0.003533843052097628,-0.014544307403598062,-0.012266379972412625,0.010471749385667249,0.10149749308108413,0.13718714450514344,-0.0067332296574335836,0.05920162125104444,-0.09695923683371079,-0.44036646036920857,1.0,0.0016782536749488089,0.0067509209057737985,0.0019327971119161651,0.2200587225150195,0.006884238353306792,0.006300806131544459
podio,0.010283307501817848,0.0028755191544994506,0.06559688910449536,-0.479919176655936,-0.6013593914800204,0.7615299837387259,0.18358439913810598,0.46285075665176617,-0.5172447728078727,0.4823540453117072,0.0017896724562966933,-0.003054432067947071,0.0016782536749488089,1.0,0.4292756998922733,0.5484944682980426,5.85259188996705e-05,0.2001220963466845,-0.1980388417747523
top10,0.021933630902224076,0.005830474218394778,0.08324012862423767,-0.5157643184943627,-0.8617229957176654,0.6301178337701692,0.4144035577416002,0.38487208115277166,-0.6055937956727127,0.26246240148506345,0.0013728191673657146,-0.007837521237203821,0.0067509209057737985,0.4292756998922733,1.0,0.2354553467656829,0.0014545390539006248,0.4520976357808361,-0.44633551951156203
victoria,0.00508319026115033,0.0016646753360783882,0.03783647019143414,-0.31126599010356154,-0.36612790991583455,0.580859809723731,0.10102798411075363,0.34041758861363614,-0.3226222385564783,0.5311970144438263,0.0016943280728702584,-0.0024837756354020336,0.0019327971119161651,0.5484944682980426,0.2354553467656829,1.0,0.0006646087799448814,0.10978915986613555,-0.10864957760039451
laps_max_race,-0.12308633334110564,-0.07473579621740728,0.005968355580492136,-0.0018818006442398731,-0.0015495296501100118,-0.027072844596933737,0.38833356172382144,-0.05321747324819609,-0.0027921798576570375,-0.015495163864647731,-0.012960750733967645,-0.36146841732587964,0.2200587225150195,5.85259188996705e-05,0.0014545390539006248,0.0006646087799448814,1.0,-0.0346304885785062,0.10727958558881917
laps_pct,0.16330685022507793,0.06412345785483553,0.020673441424844362,-0.12376486737898694,-0.6233192409898414,0.2924282805818047,0.8964886482819491,0.129883550393878,-0.17850257497348013,0.09248230983430174,0.0421938029439044,-0.0007096728253613944,0.006884238353306792,0.2001220963466845,0.4520976357808361,0.10978915986613555,-0.0346304885785062,1.0,-0.9854481358084066
vueltas_perdidas,-0.1737874061468908,-0.07000386812537282,-0.018283976520560477,0.1221511676331751,0.6131773314997709,-0.2893014025203416,-0.8745404310990681,-0.13334216577269928,0.1762372692019153,-0.09379784241525753,-0.0387288979874224,-0.030078339107038995,0.006300806131544459,-0.1980388417747523,-0.44633551951156203,-0.10864957760039451,0.10727958558881917,-0.9854481358084066,1.0
