variable,n_faltantes,porcentaje_faltante
driver_championship_points,153,1.53
driver_championship_position,153,1.53
driver_championship_wins,153,1.53
laps_max_race,0,0.0
victoria,0,0.0
resultId,0,0.0
raceId,0,0.0
driverId,0,0.0
constructorId,0,0.0
statusId,0,0.0
circuitId,0,0.0
driverRef,0,0.0
dob,0,0.0
constructorRef,0,0.0
laps_pct,0,0.0
circuit_lat,0,0.0
circuit_lng,0,0.0
circuit_alt,0,0.0
podio,0,0.0
top10,0,0.0
circuitRef,0,0.0
year,0,0.0
decada,0,0.0
driver_age,0,0.0
round,0,0.0
race_name,0,0.0
race_date,0,0.0
circuit_name,0,0.0
circuit_country,0,0.0
circuit_location,0,0.0
driver_name,0,0.0
driver_nationality,0,0.0
constructor_name,0,0.0
status_grupo,0,0.0
constructor_nationality,0,0.0
grid,0,0.0
largada_grupo,0,0.0
positionOrder,0,0.0
resultado_grupo,0,0.0
race_points,0,0.0
laps,0,0.0
status,0,0.0
vueltas_perdidas,0,0.0
