indice_original,year,race_name,driver_name,constructor_name,grid,positionOrder,resultado_grupo,largada_grupo,status_grupo,CP1,CP2,distancia_cp1_cp2
3344,2023,Abu Dhabi Grand Prix,Max Verstappen,Red Bull,1,1,Ganador,Pole,Clasificado / terminó,-6.890390702097273,-3.460651778838846,7.710615718730185
9061,2023,Las Vegas Grand Prix,Max Verstappen,Red Bull,2,1,Ganador,Top 5,Clasificado / terminó,-6.575856385063629,-3.2175519038955436,7.320828330950258
9642,2023,São Paulo Grand Prix,Max Verstappen,Red Bull,1,1,Ganador,Pole,Clasificado / terminó,-6.420199094333058,-3.056163516747183,7.110491674418269
6603,2023,Mexico City Grand Prix,Max Verstappen,Red Bull,3,1,Ganador,Top 5,Clasificado / terminó,-6.026015646837363,-2.7715880113085816,6.632839865424025
437,2022,Abu Dhabi Grand Prix,Max Verstappen,Red Bull,1,1,Ganador,Pole,Clasificado / terminó,-5.930209459380535,-2.5934059144596984,6.47249090144443
2865,2004,Japanese Grand Prix,Michael Schumacher,Ferrari,1,1,Ganador,Pole,Clasificado / terminó,-5.6948862410265475,-2.880179764174385,6.381783823680734
681,2023,Qatar Grand Prix,Max Verstappen,Red Bull,1,1,Ganador,Pole,Clasificado / terminó,-5.715122299997248,-2.450051010207516,6.218148667935233
1957,2022,Mexico City Grand Prix,Max Verstappen,Red Bull,1,1,Ganador,Pole,Clasificado / terminó,-5.694481803566886,-2.3893021236203835,6.175426110730436
3834,2004,Hungarian Grand Prix,Michael Schumacher,Ferrari,1,1,Ganador,Pole,Clasificado / terminó,-5.457052412107759,-2.669877107356791,6.075167882197082
9095,2023,United States Grand Prix,Max Verstappen,Red Bull,6,1,Ganador,Top 10,Clasificado / terminó,-5.552183068879618,-2.445536875374682,6.066909216328431
